"Reaction Abbreviation","EC Number"
"R_EDA","4.1.2.14"
"R_EDD","4.2.1.12"
"R_EGMEACPR","1.3.1.10"
"R_ENO","4.2.1.11"
"R_EPMEACPR","1.3.1.10"
"R_ETHAAL","4.3.1.7"
"R_FA100ACPHi","3.1.2.14"
"R_FA120ACPHi","3.1.2.14"
"R_FA140ACPHi","3.1.2.14"
"R_FA141ACPHi","3.1.2.14"
"R_FA160ACPHi","3.1.2.14"
"R_FA161ACPHi","3.1.2.14"
"R_FA80ACPHi","3.1.2.14"
"R_FACOAL100t2pp","6.2.1.3"
"R_FACOAL120t2pp","6.2.1.3"
"R_FACOAL140t2pp","6.2.1.3"
"R_FACOAL141t2pp","6.2.1.3"
"R_FACOAL160t2pp","6.2.1.3"
"R_FACOAL161t2pp","6.2.1.3"
"R_FACOAL180t2pp","6.2.1.3"
"R_FACOAL181t2pp","6.2.1.3"
"R_FACOAL60t2pp","6.2.1.3"
"R_FACOAL80t2pp","6.2.1.3"
"R_FBA","4.1.2.13"
"R_FBA3","4.1.2.13"
"R_FBP","3.1.3.11"
"R_FCI","5.3.1.25"
"R_FCLK","2.7.1.51"
"R_FCLPA","4.1.2.17"
"R_FCLT","4.99.1.1"
"R_FDH4pp","1.2.2.1"
"R_FDH5pp","1.2.2.1"
"R_FEROpp","1.16.3.1"
"R_FFSD","3.2.1.26"
"R_FLDR","1.18.1.2"
"R_FLVR","1.5.1.30"
"R_FLVRx","1.5.1.30"
"R_FMETTRS","2.1.2.9"
"R_FMNAT","2.7.7.2"
"R_FOMETRi","2.1.2.10"
"R_FRD2","1.3.99.1"
"R_FRD3","1.3.99.1"
"R_FRUK","2.7.1.56"
"R_FRUpts2pp","2.7.1.69 2.7.3.9"
"R_FTHFD","3.5.1.10"
"R_FTHFLi","6.3.4.3"
"R_FUM","4.2.1.2"
"R_G1PACT","2.3.1.157"
"R_G1PPpp","3.1.3.10"
"R_G1PTT","2.7.7.24"
"R_G1SAT","5.4.3.8"
"R_G3PAT120","2.3.1.15"
"R_G3PAT140","2.3.1.15"
"R_G3PAT141","2.3.1.15"
"R_G3PAT160","2.3.1.15"
"R_G3PAT161","2.3.1.15"
"R_G3PAT180","2.3.1.15"
"R_G3PAT181","2.3.1.15"
"R_G3PD2","1.1.1.94"
"R_G3PD5","1.1.99.5"
"R_G3PD6","1.1.99.5"
"R_G3PD7","1.1.99.5"
"R_G5SD","1.2.1.41"
"R_G6PDA","3.5.99.6"
"R_G6PDH2r","1.1.1.49"
"R_G6PP","3.1.3.9"
"R_GAL1PPpp","3.1.3.10"
"R_GALCTD","4.2.1.42"
"R_GALCTND","4.2.1.6"
"R_GALKr","2.7.1.6"
"R_GALM2pp","5.1.3.3"
"R_GALS3","3.2.1.22"
"R_GALUi","2.7.7.9"
"R_GAPD","1.2.1.12"
"R_GARFT","2.1.2.2"
"R_GCALDD","1.2.1.21"
"R_GDPTPDP","3.1.7.2"
"R_GF6PTA","2.6.1.16"
"R_GHMT2r","2.1.2.1"
"R_GK1","2.7.4.8"
"R_GLBRAN2","2.4.1.18"
"R_GLCATr","2.3.1.79"
"R_GLCP","2.4.1.1"
"R_GLCP2","2.4.1.1"
"R_GLCRAL","4.1.2.20"
"R_GLCRD","4.2.1.40"
"R_GLCS1","2.4.1.21"
"R_GLCptspp","2.7.1.69 2.7.3.9"
"R_GLGC","2.7.7.27"
"R_GLNS","6.3.1.2"
"R_GLNTRS","6.1.1.18"
"R_GLU5K","2.7.2.11"
"R_GLUCYS","6.3.2.2"
"R_GLUDC","4.1.1.15"
"R_GLUDy","1.4.1.4"
"R_GLUN","3.5.1.2"
"R_GLUNpp","3.5.1.2"
"R_GLUPRT","2.4.2.14"
"R_GLUR","5.1.1.3"
"R_GLUSy","1.4.1.13"
"R_GLUTRS","6.1.1.17"
"R_GLXCL","4.1.1.47"
"R_GLYAT","2.3.1.29"
"R_GLYCDx","1.1.1.6"
"R_GLYCK","2.7.1.31"
"R_GLYCK2","2.7.1.31"
"R_GLYCLTDy","1.1.1.26"
"R_GLYK","2.7.1.30"
"R_GLYOX","3.1.2.6"
"R_GLYTRS","6.1.1.14"
"R_GMAND","4.2.1.47"
"R_GMPR","1.7.1.7"
"R_GMPS2","6.3.5.2"
