Metabolite name,Metabolite description,Metabolite neutral formula,Metabolite charged formula,Metabolite charge,Metabolite KEGG ID
atp[c],ATP,C10H16N5O13P3,C10H12N5O13P3,-4,C00002
glc-D[c],D-Glucose,C6H12O6,C6H12O6,0,C00031
adp[c],ADP,C10H15N5O10P2,C10H12N5O10P2,-3,C00008 
g6p[c],D-Glucose 6-phosphate,C6H13O9P,C6H11O9P,-2,C00092
h[c],H+,H,H,1,C00080
glc-B[c],D-Glucose,C6H12O6,C6H12O6,0,
g6p-B[c],D-Glucose 6-phosphate,C6H11O9P,C6H11O9P,-2,
34dhmald[c],"3,4-Dihydroxymandelaldehyde",C8H8O4,C8H8O4,0,C05577
nadh[c],Nicotinamide adenine dinucleotide - reduced,C21H29N7O14P2,C21H27N7O14P2,-2,C00004
34dhoxpeg[c],"3,4-Dihydroxyphenylethyleneglycol",C8H10O4,C8H10O4,0,C05576
nad[c],Nicotinamide adenine dinucleotide,C21H28N7O14P2,C21H26N7O14P2,-1,C00003
34hpp[c],3-(4-Hydroxyphenyl)pyruvate,C9H8O4,C9H7O4,-1,C01179
o2[c],O2,O2,O2,0,C00007
co2[c],CO2,CO2,CO2,0,C00011
hgentis[c],Homogentisate,C8H8O4,C8H7O4,-1,C00544
3hdecACP[c],(R)-3-Hydroxydecanoyl-[acyl-carrier protein],C21H40N2O9PRS,C21H39N2O9PRS,-1,C04619
h2o[c],H2O,H2O,H2O,0,C00001
tdec2eACP[c],trans-Dec-2-enoyl-[acyl-carrier protein],C21H38N2O8PRS,C21H37N2O8PRS,-1,C05754
3hddecACP[c],(R)-3-Hydroxydodecanoyl-[acyl-carrier protein],C23H44N2O9PRS,C23H43N2O9PRS,-1,C05757
tddec2eACP[c],trans-Dodec-2-enoyl-[acyl-carrier protein],C23H42N2O8PRS,C23H41N2O8PRS,-1,C05758
3hcddec5eACP[c],(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein],C23H42N2O9PRS,C23H41N2O9PRS,-1,
t3c5ddeceACP[c],trans-3-cis-5-dodecenoyl-[acyl-carrier protein],C23H40N2O8PRS,C23H39N2O8PRS,-1,
3hmrsACP[c],(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein],C25H48N2O9PRS,C25H47N2O9PRS,-1,C04688
tmrs2eACP[c],trans-Tetradec-2-enoyl-[acyl-carrier protein],C25H46N2O8PRS,C25H45N2O8PRS,-1,C05760
3hcmrs7eACP[c],(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein],C25H46N2O9PRS,C25H45N2O9PRS,-1,
t3c7mrseACP[c],trans-3-cis-7-myristoleoyl-[acyl-carrier protein],C25H44N2O8PRS,C25H43N2O8PRS,-1,
3hpalmACP[c],R-3-hydroxypalmitoyl-[acyl-carrier protein],C27H52N2O9PRS,C27H51N2O9PRS,-1,C04633
tpalm2eACP[c],trans-Hexadec-2-enoyl-[acyl-carrier protein],C27H50N2O8PRS,C27H49N2O8PRS,-1,C05763
3hcpalm9eACP[c],(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein],C27H50N2O9PRS,C27H49N2O9PRS,-1,
t3c9palmeACP[c],trans-3-cis-9-palmitoleoyl-[acyl-carrier protein],C27H48N2O8PRS,C27H47N2O8PRS,-1,
3hoctaACP[c],(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein],C29H56N2O9PRS,C29H55N2O9PRS,-1,
toctd2eACP[c],trans-octadec-2-enoyl-[acyl-carrier protein],C29H54N2O8PRS,C29H53N2O8PRS,-1,
3hcvac11eACP[c],(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein],C29H54N2O9PRS,C29H53N2O9PRS,-1,
t3c11vaceACP[c],trans-3-cis-11-vacceoyl-[acyl-carrier protein],C29H52N2O8PRS,C29H51N2O8PRS,-1,
3haACP[c],(3R)-3-Hydroxyacyl-[acyl-carrier protein],C15H28N2O9PRS,C15H27N2O9PRS,-1,C01271
but2eACP[c],But-2-enoyl-[acyl-carrier protein],C15H26N2O8PRS,C15H25N2O8PRS,-1,C04246
3hhexACP[c],(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],C17H32N2O9PRS,C17H31N2O9PRS,-1,C05747
thex2eACP[c],trans-Hex-2-enoyl-[acyl-carrier protein],C17H30N2O8PRS,C17H29N2O8PRS,-1,C05748
3hoctACP[c],(R)-3-Hydroxyoctanoyl-[acyl-carrier protein],C19H36N2O9PRS,C19H35N2O9PRS,-1,C04620
toct2eACP[c],trans-Oct-2-enoyl-[acyl-carrier protein],C19H34N2O8PRS,C19H33N2O8PRS,-1,C05751
3odecACP[c],3-Oxodecanoyl-[acyl-carrier protein],C21H38N2O9PRS,C21H37N2O9PRS,-1,C05753
nadph[c],Nicotinamide adenine dinucleotide phosphate - reduced,C21H30N7O17P3,C21H26N7O17P3,-4,C00005
nadp[c],Nicotinamide adenine dinucleotide phosphate,C21H28N7O17P3,C21H25N7O17P3,-3,C00006
3oddecACP[c],3-Oxododecanoyl-[acyl-carrier protein],C23H42N2O9PRS,C23H41N2O9PRS,-1,C05756
3ocddec5eACP[c],3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein],C23H40N2O9PRS,C23H39N2O9PRS,-1,C00008 
3omrsACP[c],3-Oxotetradecanoyl-[acyl-carrier protein],C25H46N2O9PRS,C25H45N2O9PRS,-1,C05759
3ocmrs7eACP[c],3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein],C25H44N2O9PRS,C25H43N2O9PRS,-1,
3opalmACP[c],3-Oxohexadecanoyl-[acyl-carrier protein],C27H50N2O9PRS,C27H49N2O9PRS,-1,C05762
3ocpalm9eACP[c],3-oxo-cis-palm-9-eoyl-[acyl-carrier protein],C27H48N2O9PRS,C27H47N2O9PRS,-1,
3ooctdACP[c],3-Oxooctadecanoyl-[acyl-carrier protein],C29H54N2O9PRS,C29H53N2O9PRS,-1,
3ocvac11eACP[c],3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein],C29H52N2O9PRS,C29H51N2O9PRS,-1,
actACP[c],Acetoacetyl-ACP,C15H26N2O9PRS,C15H25N2O9PRS,-1,C05744
3ohexACP[c],3-Oxohexanoyl-[acyl-carrier protein],C17H30N2O9PRS,C17H29N2O9PRS,-1,C05746
3ooctACP[c],3-Oxooctanoyl-[acyl-carrier protein],C19H34N2O9PRS,C19H33N2O9PRS,-1,C05750
malACP[c],Malonyl-[acyl-carrier protein],C14H24N2O10PRS,C14H22N2O10PRS,-2,C01209
ocACP[c],Octanoyl-ACP (n-C8:0ACP),C19H36N2O8PRS,C19H35N2O8PRS,-1,C05752
ACP[c],acyl carrier protein,C11H22N2O7PRS,C11H21N2O7PRS,-1,C00229
dcaACP[c],Decanoyl-ACP (n-C10:0ACP),C21H40N2O8PRS,C21H39N2O8PRS,-1,C05755
cdec3eACP[c],cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1),C21H38N2O8PRS,C21H37N2O8PRS,-1,
ddcaACP[c],Dodecanoyl-ACP (n-C12:0ACP),C23H44N2O8PRS,C23H43N2O8PRS,-1,C05223
cddec5eACP[c],cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1),C23H42N2O8PRS,C23H41N2O8PRS,-1,
myrsACP[c],Myristoyl-ACP (n-C14:0ACP),C25H48N2O8PRS,C25H47N2O8PRS,-1,C05761
tdeACP[c],cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1),C25H46N2O8PRS,C25H45N2O8PRS,-1,
palmACP[c],Palmitoyl-ACP (n-C16:0ACP),C27H52N2O8PRS,C27H51N2O8PRS,-1,C05764
hdeACP[c],cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),C27H50N2O8PRS,C27H49N2O8PRS,-1,
butACP[c],Butyryl-ACP (n-C4:0ACP),C15H28N2O8PRS,C15H27N2O8PRS,-1,C05745
hexACP[c],Hexanoyl-ACP (n-C6:0ACP),C17H32N2O8PRS,C17H31N2O8PRS,-1,C05749
aacoa[c],Acetoacetyl-CoA,C25H40N7O18P3S,C25H36N7O18P3S,-4,C00332
3hbcoa-R[c],(R)-3-Hydroxybutyryl-CoA,C25H42N7O18P3S,C25H38N7O18P3S,-4,
4abutn[c],4-Aminobutanal,C4H9NO,C4H10NO,1,
4abut[c],4-Aminobutanoate,C4H9NO2,C4H9NO2,0,C00334
adocbip[c],Adenosyl cobinamide phosphate,C58H84CoN16O14P,C58H83CoN16O14P,-1,C06509
gtp[c],GTP,C10H16N5O14P3,C10H12N5O14P3,-4,C00044
agdpcbi[c],Adenosine-GDP-cobinamide,C68H96CoN21O21P2,C68H95CoN21O21P2,-1,C06510
ppi[c],Diphosphate,H4O7P2,HO7P2,-3,C00013
accoa[c],Acetyl-CoA,C23H38N7O17P3S,C23H34N7O17P3S,-4,C00024
hco3[c],Bicarbonate,CH2O3,CHO3,-1,C00288
malcoa[c],Malonyl-CoA,C24H38N7O19P3S,C24H33N7O19P3S,-5,C00083
pi[c],Phosphate,H3O4P,HO4P,-2,C00009
acglu[c],N-Acetyl-L-glutamate,C7H11NO5,C7H9NO5,-2,C00624
acg5p[c],N-Acetyl-L-glutamyl 5-phosphate,C7H12NO8P,C7H9NO8P,-3,C04133
glu-L[c],L-Glutamate,C5H9NO4,C5H8NO4,-1,C00025
coa[c],Coenzyme A,C21H36N7O16P3S,C21H32N7O16P3S,-4,C00010
ac[c],Acetate,C2H4O2,C2H3O2,-1,C00033
actp[c],Acetyl phosphate,C2H5O5P,C2H3O5P,-2,C00227
pyr[c],Pyruvate,C3H4O3,C3H3O3,-1,C00022
alac-S[c],(S)-2-Acetolactate,C5H8O4,C5H7O4,-1,C06010
acACP[c],Acetyl-ACP,C13H24N2O8PRS,C13H23N2O8PRS,-1,
cit[c],Citrate,C6H8O7,C6H5O7,-3,C00158
icit[c],Isocitrate,C6H8O7,C6H5O7,-3,C00311
acorn[c],N2-Acetyl-L-ornithine,C7H14N2O3,C7H14N2O3,0,C00437
akg[c],2-Oxoglutarate,C5H6O5,C5H4O5,-2,C00026
acg5sa[c],N-Acetyl-L-glutamate 5-semialdehyde,C7H11NO4,C7H10NO4,-1,C01250
fmn[c],FMN,C17H21N4O9P,C17H19N4O9P,-2,C00061
ribflv[c],Riboflavin,C17H20N4O6,C17H20N4O6,0,C00255
amp[c],AMP,C10H14N5O7P,C10H12N5O7P,-2,C00020
adcobhex[c],"Adenosyl cobyrinate hexaamide, Adenosylcobyric acid",C55H76CoN15O11,C55H76CoN15O11,0,
appl[c],1-Aminopropan-2-ol,C3H9NO,C3H10NO,1,C05771
adocbi[c],Adenosyl cobinamide,C58H83CoN16O11,C58H84CoN16O11,1,C06508
applp[c],D-1-Aminopropan-2-ol O-phosphate,C3H10NO4P,C3H9NO4P,-1,C04122
adcobdam[c],Adenosyl cobyrinate diamide,C55H72CoN11O15,C55H68CoN11O15,-4,C06506
gln-L[c],L-Glutamine,C5H10N2O3,C5H10N2O3,0,C00064
damp[c],dAMP,C10H14N5O6P,C10H12N5O6P,-2,C00360
dadp[c],dADP,C10H15N5O9P2,C10H12N5O9P2,-3,C00206
camp[c],"3',5'-Cyclic AMP, Adenosine 3[-,5[-cyclic monophosphate, Cyclic adenylic acid",C10H12N5O6P,C10H11N5O6P,-1,
rdmbzi[c],"N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole",C14H18N2O4,C14H18N2O4,0,C05775
adocbl[c],Adenosylcobalamin,C72H100CoN18O17P,C72H100CoN18O17P,0,C00194
gmp[c],GMP,C10H14N5O8P,C10H12N5O8P,-2,C00144
adprib[c],ADPribose,C15H23N5O14P2,C15H21N5O14P2,-2,
r5p[c],alpha-D-Ribose 5-phosphate,C5H11O8P,C5H9O8P,-2,C00117
ade[c],Adenine,C5H5N5,C5H5N5,0,C00147
prpp[c],5-Phospho-alpha-D-ribose 1-diphosphate,C5H13O14P3,C5H8O14P3,-5,C00119
aicar[c],5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,C9H15N4O8P,C9H13N4O8P,-2,C04677
C04051[c],C04051,C4H6N4O,C4H6N4O,0,C04051
aps[c],Adenosine 5'-phosphosulfate,C10H14N5O10PS,C10H12N5O10PS,-2,C00224
paps[c],3'-Phosphoadenylyl sulfate,C10H15N5O13P2S,C10H11N5O13P2S,-4,
dcamp[c],"N6-(1,2-Dicarboxyethyl)-AMP",C14H18N5O11P,C14H14N5O11P,-4,C03794
fum[c],Fumarate,C4H4O4,C4H2O4,-2,C00122
25aics[c],(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,C13H19N4O12P,C13H15N4O12P,-4,C04823
asp-L[c],L-Aspartate,C4H7NO4,C4H6NO4,-1,C00049
imp[c],IMP,C10H13N4O8P,C10H11N4O8P,-2,C00130
gdp[c],GDP,C10H15N5O11P2,C10H12N5O11P2,-3,C00035
agm[c],Agmatine,C5H12N4,C5H16N4,2,C00179
ptrc[c],Putrescine,C4H12N2,C4H14N2,2,C00134
urea[c],Urea,CH4N2O,CH4N2O,0,C00086
1hdecg3p[c],1-hexadecanoyl-sn-glycerol 3-phosphate,C19H39O7P1,C19H37O7P1,-2,C00681
pa160[c],"1,2-dihexadecanoyl-sn-glycerol 3-phosphate",C35H69O8P1,C35H67O8P1,-2,C00416
1hdec9eg3p[c],1-hexadec-9-enoyl-sn-glycerol 3-phosphate,C19H37O7P1,C19H35O7P1,-2,
pa161[c],"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",C35H67O8P1,C35H63O8P1,-2,C00416
1odecg3p[c],1-octadecanoyl-sn-glycerol 3-phosphate,C21H43O7P1,C21H41O7P1,-2,C00681
ocdcaACP[c],Octadecanoyl-ACP (n-C18:0ACP),C29H56N2O8PRS,C29H55N2O8PRS,-1,
pa180[c],"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",C39H77O8P1,C39H75O8P1,-2,C00416
1odec11eg3p[c],1-octadec-11-enoyl-sn-glycerol 3-phosphate,C21H41O7P1,C21H39O7P1,-2,
octeACP[c],cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1),C29H54N2O8PRS,C29H53N2O8PRS,-1,
pa181[c],"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",C39H73O8P1,C39H71O8P1,-2,C00416
1odec9eg3p[c],1-octadec-9-enoyl-sn-glycerol 3-phosphate,C21H41O7P1,C21H39O7P1,-2,
octe(9)ACP[c],cis-octadec-9-enoyl-[acyl-carrier protein] (n-C18:1),C29H54N2O8PRS,C29H53N2O8PRS,-1,C01203
pa181:9[c],"1,2-dioctadec-9-enoyl-sn-glycerol 3-phosphate",C39H73O8P1,C39H71O8P1,-2,
1odec912eg3p[c],1-octadec-9-12-dienoyl-sn-glycerol 3-phosphate,C21H39O7P1,C21H37O7P1,-2,
octe(9:12)ACP[c],linoleoyl-ACP (n-C18:2ACP),C29H52N2O8PRS,C29H51N2O8PRS,-1,C16160
pa182:9:12[c],"1,2-dioctadec-9-12-dienoyl-sn-glycerol 3-phosphate",C39H69O8P1,C39H67O8P1,-2,
1odec6912eg3p[c],1-octadec-6-9-12trienoyl-sn-glycerol 3-phosphate,C21H37O7P1,C21H35O7P1,-2,
octe(6:9:12)ACP[c],?-linolenoilACP,C29H48N2O8PRS,C29H49N2O8PRS,-1,
pa183:6:9:12[c],"1,2-dioctadec-6-9-12-trienoyl-sn-glycerol 3-phosphate",C39H65O8P1,C39H63O8P1,-2,
1odec91215eg3p[c],1-octadec-9-12-15-trienoyl-sn-glycerol 3-phosphate,C21H37O7P1,C21H35O7P1,-2,
pa183:9:12:15[c],"1,2-dioctadec-9-12-15-trienoyl-sn-glycerol 3-phosphate",C39H65O8P1,C39H63O8P1,-2,
1odec691215eg3p[c],1-octadec-6-9-12-15-tetraenoyl-sn-glycerol 3-phosphate,C21H35O7P1,C21H33O7P1,-2,
octe(6:9:12:15)ACP[c],OctadecatetraenoilACP,C29H48N2O8PRS,C29H47N2O8PRS,-1,
pa184:6:9:12:15[c],"1,2-dioctadec-6-9-12-15-tetraenoyl-sn-glycerol 3-phosphate",C39H61O8P1,C39H59O8P1,-2,
ahcys[c],S-Adenosyl-L-homocysteine,C14H20N6O5S,C14H20N6O5S,0,C00021
adn[c],Adenosine,C10H13N5O4,C10H13N5O4,0,C00212
hcys-L[c],L-Homocysteine,C4H9NO2S,C4H9NO2S,0,C00155
air[c],5-amino-1-(5-phospho-D-ribosyl)imidazole,C8H14N3O7P,C8H12N3O7P,-2,C03373
4ahmmp[c],4-Amino-5-hydroxymethyl-2-methylpyrimidine,C6H9N3O,C6H9N3O,0,C01279
gcald[c],Glycolaldehyde,C2H4O2,C2H4O2,0,C00266
10fthf[c],10-Formyltetrahydrofolate,C20H23N7O7,C20H21N7O7,-2,C00234
fprica[c],5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,C10H15N4O9P,C10H13N4O9P,-2,C04734
thf[c],"5,6,7,8-Tetrahydrofolate",C19H23N7O6,C19H21N7O6,-2,C00101
5aizc[c],5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C9H14N3O9P,C9H11N3O9P,-3,C04751
ala-D[c],D-Alanine,C3H7NO2,C3H7NO2,0,C00133
alaala[c],D-Alanyl-D-alanine,C6H12N2O3,C6H12N2O3,0,C00993
nh4[c],Ammonium,H3N,H4N,1,C01342
ala-L[c],L-Alanine,C3H7NO2,C3H7NO2,0,C00041
trnaala[c],tRNA(Ala),R,R,0,C01635
alatrna[c],L-Alanyl-tRNA(Ala),C3H5NOR,C3H6NOR,1,C00886
glyald[c],D-Glyceraldehyde,C3H6O3,C3H6O3,0,C00577
glyc[c],Glycerol,C3H8O3,C3H8O3,0,C00116
etoh[c],Ethanol,C2H6O,C2H6O,0,C00469
acald[c],Acetaldehyde,C2H4O,C2H4O,0,C00084
id3acald[c],Indole-3-acetaldehyde,C10H9NO,C10H9NO,0,
ind3ac[c],Indole-3-acetate,C10H9NO2,C10H8NO2,-1,
4gudbd[c],4-Guanidinobutanamide,C5H12N4O,C5H13N4O,1,
4gudbutn[c],4-Guanidinobutanoate,C5H11N3O2,C5H11N3O2,0,
pad[c],2-Phenylacetamide,C8H9NO,C8H9NO,0,
pac[c],Phenylacetic acid,C8H8O2,C8H7O2,-1,C07086
iad[c],Indole-3-acetamide,C10H10N2O,C10H10N2O,0,
anth[c],Anthranilate,C7H7NO2,C7H6NO2,-1,C00108
pran[c],N-(5-Phospho-D-ribosyl)anthranilate,C12H16NO9P,C12H13NO9P,-3,C04302
chor[c],chorismate,C10H10O6,C10H8O6,-2,C00251
pmcoa[c],Pimeloyl-CoA,C28H46N7O19P3S,C28H41N7O19P3S,-5,
8aonn[c],8-Amino-7-oxononanoate,C9H17NO3,C9H17NO3,0,
5apru[c],5-Amino-6-(5'-phosphoribosylamino)uracil,C9H15N4O9P,C9H13N4O9P,-2,C01268
5aprbu[c],5-Amino-6-(5'-phosphoribitylamino)uracil,C9H17N4O9P,C9H15N4O9P,-2,C04454
arg-L[c],L-Arginine,C6H14N4O2,C6H15N4O2,1,C00062
argsuc[c],N(omega)-(L-Arginino)succinate,C10H18N4O6,C10H17N4O6,-1,C03406
citr-L[c],L-Citrulline,C6H13N3O3,C6H13N3O3,0,
trnaarg[c],tRNA(Arg),R,R,0,C01636
argtrna[c],L-Arginyl-tRNA(Arg),C6H12N4OR,C6H14N4OR,2,C02163
4pasp[c],4-Phospho-L-aspartate,C4H8NO7P,C4H6NO7P,-2,C03082
aspsa[c],L-Aspartate 4-semialdehyde,C4H7NO3,C4H7NO3,0,C00441
asn-L[c],L-Asparagine,C4H8N2O3,C4H8N2O3,0,C00152
trnaasn[c],tRNA(Asn),C10H17O10PR2,C10H17O10PR2,0,
asntrna[c],L-Asparaginyl-tRNA(Asn),C14H22N2O12PR2,C14H23N2O12PR2,1,
ala-B[c],beta-Alanine,C3H7NO2,C3H7NO2,0,
cbp[c],Carbamoyl phosphate,CH4NO5P,CH2NO5P,-2,C00169
cbasp[c],N-Carbamoyl-L-aspartate,C5H8N2O5,C5H6N2O5,-2,C00438
h2o2[c],Hydrogen peroxide,H2O2,H2O2,0,C00027
iasp[c],Iminoaspartate,C4H5NO4,C4H3NO4,-2,C05840
oaa[c],Oxaloacetate,C4H4O5,C4H2O5,-2,C00036
trnaasp[c],tRNA(Asp),R,R,0,C01638
asptrna[c],L-Aspartyl-tRNA(Asp),C4H5NO3R,C4H5NO3R,0,C02984
