"CHEBI ID","KEGG ID"
"17172","C00330"
"16732","C00570"
"27847","C02515"
"117411","D00386"
"47266","C13645"
"52449","C14732"
"505093","C15816"
"17490","C02990"
"17694","C00579"
"17025","C00337"
"28748","C01661"
"16865","C00334"
"15710","C00576"
"17489","C00575"
"20506","C00101"
"15539","C00100"
"15551","C00584"
"17211","C00341"
"16997","C00583"
"17141","C01678"
"15537","C00582"
"16344","C00581"
"16755","C02528"
"34185","C14749"
"34306","C14748"
"4672","C11231"
"30831","C00109"
"30754","C00108"
"17568","C00106"
"16695","C00105"
"18132","C00588"
"17808","C00104"
"17553","C00346"
"16077","C00103"
"48928","C00345"
"16905","C00354"
"1109","C05802"
"17239","C00112"
"16108","C00111"
"27752","C05803"
"15873","C00352"
"17401","C01204"
"73005","C00350"
"17474","C02538"
"28711","C05804"
"31116","C13425"
"43755","D00362"
"28738","C11004"
"17111","C00119"
"52742","C00117"
"17522","C00116"
"15784","C00357"
"15354","C00114"
"15467","C00356"
"15765","C00355"
"18315","C00113"
"17050","C00597"
"15603","C00123"
"16813","C01697"
"17622","C00365"
"18012","C00122"
"48043","C04722"
"17013","C00364"
"47013","C00121"
"18075","C00363"
"15956","C00120"
"17287","C02305"
"16192","C00362"
"28862","C00361"
"17713","C00360"
"34490","C14769"
"34450","C14768"
"119486","C08088"
"47381","C01690"
"16584","C00129"
"39669","C01691"
"16556","C00128"
"27471","C05464 "
"4659","C01692"
"17858","C00127"
"15772","C01693"
"17775","C00366"
"17148","C00134"
"18381","C04734"
"17898","C00376"
"3745","C06914"
"28304","C00374"
"220467","C01227"
"16284","C00131"
"3732","C06912"
"17202","C00130"
"1606","C05828"
"15682","C03406"
"47780","C06918"
"28104","C05827"
"34162","C14778"
"34146","C14777"
"34486","C14776"
"31536","C12599"
"63966","C14775"
"63969","C14774"
"63970","C14773"
"63974","C14772"
"34157","C14771"
"17816","C01220"
"17268","C00137"
"57371","C00136"
"16955","C01222"
"18385","C00378"
"15971","C00135"
"16382","C00708"
"18225","C04062"
"77397","C07572"
"28259","C06000"
"28846","C00705"
"18421","C00704"
"28858","C04063"
"37373","C06001"
"27527","C05399"
"27821","C06002"
"17737","C01802"
"17750","C00719"
"28102","C00718"
"528791","C07342"
"8066","C07584"
"16208","C00957"
"37024","C00956"
"564003","C07587"
"18416","C04079"
"15475","C07343"
"16411","C00954"
"6650","C00711"
"16469","C00951"
"41774","C07108"
"41423","C07589"
"8887","C07590"
"29269","C05172"
"28659","C06262"
"7822","C07356"
"33023","C13809"
"17630","C01822"
"16797","C02918"
"18332","C01829"
"17697","C00978"
"8378","C07369"
"15521","C01832"
"8382","C07370"
"8430","C07375"
"28177","C07130"
"21260","C00506"
"17833","C00505"
"27470","C00504"
"15725","C00986"
"28061","C00984"
"17033","C00500"
"16523","C00740"
"15746","C00750"
"63618","C01844"
"17862","C02934"
"31521","C12739"
"16285","C01607"
"15487","C02939"
"8249","C01608"
"9588","C07140"
"183772","C08233"
"16668","C00519"
"309007","C07383"
"39465","C07141"
"17600","C00517"
"9611","C07142"
"16176","C00515"
"18308","C00511"
"71941","C07149"
"15440","C00751"
"17164","C01613"
"146727","C12508"
"45863","C07394"
"160401","C07395"
"75725","C07153"
"15524","C00527"
"16450","C00526"
"2569","C08005"
"8713","C07398"
"16313","C00763"
"16962","C00762"
"3216","C08007"
"17594","C00530"
"64277","C02953"
"36476","C03805"
"31547","C12512"
"659106","C12753"
"6441","C08012"
"6807","C07163"
"4474","C08010"
"17347","C00535"
"26536","C00777"
"119572","C08014"
"16410","C00534"
"16480","C00533"
"194484","C08019"
"7852","C08018"
"18252","C05437"
"28867","C03017"
"16290","C05439"
"28593","C06527"
"55545","C16570"
"15905","C03492"
"15647","C02165"
"16978","C02166"
"28313","C06524"
"15435","C01079"
"6717","C02168"
"9534","C03028"
"27403","C05448"
"222828","C16561"
"357241","C16569"
"37574","C01081"
"30860","C02170"
"16551","C01083"
"18212","C05684"
"15769","C04352"
"15439","C03263"
"283119","C05443"
"18081","C05200"
"16633","C05688"
"12350","C03267"
"27428","C05445"
"421707","C07624"
"27812","C05689"
"17066","C01089"
"20067","C01089"
"28540","C05444"
"2485","C05686"
"27393","C05447"
"8768","C07864"
"17278","C05446"
"27808","C06534"
"247956","C07879"
"48991","C16353"
"149744","C16355"
"68449","C16356"
"68444","C16358"
"68441","C16359"
"27458","C05450"
"704854","C01094"
"28047","C05452"
"28450","C05696"
"2290","C05451"
"16496","C05454"
"28572","C06540"
"2288","C05453"
"4639","C07872"
"26630","C05699"
"3636","C07877"
"17899","C05455"
"18170","C05697"
"28477","C05457"
"9555","C07648"
"8497","C07406"
"46345","C07649"
"8499","C07407"
"52075","C15492"
"50648","C15493"
"29035","C19610"
"15430","C02191"
"27505","C05460"
"9410","C05463"
"33094","C03284"
"1864","C07643"
"8428","C07401"
"16525","C05465"
"15627","C02198"
"27379","C05467"
"4027","C07888"
"8163","C07647"
"18093","C05469"
"2149","C05468"
"6149","C07887"
"175901","C07650"
"7528","C07657"
"354975","C07416"
"17884","C04148"
"68531","C16360"
"691622","C16361"
"32643","C16365"
"27902","C06570"
"28043","C05485"
"27832","C05487"
"116117","C07421"
"15486","C03069"
"18723","C16150"
"76591","C06340"
"18431","C06341"
"16914","C00805"
"348669","C07670"
"44616","C05011"
"27402","C05258"
"16338","C03079"
"15491","C05259"
"28726","C05261"
"48574","C07440"
"27466","C05260"
"27868","C05263"
"27668","C05262"
"28528","C05265"
"6904","C07202"
"28325","C05264"
"8214","C07445"
"28264","C05267"
"28632","C05266"
"27375","C07201"
"8107","C07443"
"27648","C05269"
"28276","C05268"
"10101","C07207"
"28445","C07204"
"16750","C00387"
"17505","C01235"
"17345","C00144"
"15727","C00386"
"16938","C01236"
"15636","C00143"
"17712","C00385"
"16530","C00141"
"30794","C00383"
"506227","C00140"
"31488","C12126"
"15368","C01471"
"17528","C01230"
"30797","C00149"
"17203","C00148"
"17027","C01475"
"16708","C00147"
"15882","C00146"
"18295","C00388"
"15558","C04742"
"30763","C00156"
"60872","C05604"
"16765","C00398"
"28645","C02336"
"15811","C01005"
"28864","C00397"
"15525","C00154"
"17154","C00153"
"17196","C00152"
"28685","C00150"
"28371","C05849"
"73024","C02571"
"27410","C05842"
"4208","C00159"
"28413","C04751"
"18228","C01243"
"27838","C05843"
"30769","C00158"
"72999","C00157"
"16595","C01245"
"27748","C05841"
"18240","C01015"
"17200","C00167"
"17616","C02588"
"30851","C00166"
"15786","C01259"
"237189","C00165"
"28171","C01017"
"15344","C00164"
"2181","C01019"
"30768","C00163"
"53488","C16513"
"2904","C13235"
"18067","C05850"
"17442","C01252"
"15844","C04520"
"47781","C06943"
"17672","C00169"
"33404","C01013"
"30841","C00168"
"119573","C06941"
"17724","C01026"
"16973","C03205"
"17821","C00178"
"17514","C00177"
"101278","C06958"
"17509","C00170"
"31225","C13244"
"28870","C11061"
"28952","C03681"
"27384","C03680"
"15883","C01261"
"36259","C02592"
"18323","C01262"
"15532","C02593"
"16066","C02110"
"490877","C06953"
"17804","C03684"
"16645","C01024"
"3699","C06952"
"16000","C00189"
"28715","C05638"
"16857","C00188"
"1307929","C00187"
"17283","C04549"
"27823","C05635"
"422","C00186"
"4670","C06967"
"16414","C00183"
"28799","C05639"
"28087","C00182"
"16783","C01272"
"15694","C03451"
"15477","C01033"
"28422","C02122"
"50157","C05634"
"4657","C06965"
"47904","C01036"
"18037","C02367"
"17380","C03227"
"2065","C05648"
"17363","C00199"
"16217","C00198"
"4784","C06977"
"28736","C05647"
"72961","C00195"
"18408","C00194"
"42717","C00191"
"16082","C00190"
"24480","C15672"
"53487","C16527"
"4710","C06971"
"27754","C03460"
"21547","C01042"
"57330","C03221"
"17998","C02373"
"16322","C01284"
"35932","C03465"
"15754","C05401"
"48309","C01045"
"2719","C02135"
"50845","C06973"
"16814","C04555"
"28053","C05402"
"308079","C05643"
"16586","C02378"
"209153","C03479"
"238115","C16550"
"37599","C16552"
"16827","C02140"
"15437","C01051"
"2076","C05651"
"4808","C05400 "
"30933","C03232"
"4856","C06980"
"15441","C01054"
"15488","C03231"
"1372","C04322"
"36575","C05653"
"18047","C02147"
"27762","C05668"
"32389","C16300"
"63825","C16545"
"15768","C01060"
"30907","C01061"
"775287","C07840"
"17601","C04332"
"4909","C06991"
"235589","C05660"
"53486","C03242"
"5445","C02154"
"5004","C06997"
"18090","C05665"
"27871","C06754"
